StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q40,Q41,Q42,Q43,Q44,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q17,Q18,Q19,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q20,Q21,Q22,Q23,Q24,Q25,Q34,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q29,Q30,Q31,Q32,Q33
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Я прочитав/ла та зрозумів/ла інформацію про дослідження,Я зберігаю за собою право припинити свою участь у дослідженні у будь-який момент без пояснення причин.,"Я погоджуюсь взяти участь у дослідженні та погоджуюсь з тим, як зібрані дані можуть бути використані.",Я погоджуюсь на обробку персональних даних відповідно до законодавства України.,Вам є 18 років?,Чи голосували Ви коли-небудь за проєкти громадського бюджету м.Києва?,Чи Ви подавали коли-небудь проєкти на громадський бюджет м.Києва?,"Оберіть з зазначених нижче варіантів, який найбільше відповідає вашому останньому досвіду участі у ГБ?",За скільки проєктів громадського бюджету Ви голосували востаннє?,"На момент голосування, чи знали Ви особисто когось із членів команди проектів (за які голосували)?","З усіх проектів за які Ви проголосували, у скількох з них вам були НЕВІДОМІ автори проектів?",Чи просили Ви когось голосувати за проєкти ГБ?,Чи брали участь в публічних онлайн дискусіях щодо будь-яких проєктів ГБ?,Чи є Ви учасником/цею Фейсбук-групи Київського ГБ?,"Чи Ви спеціально слідкуєте за реалізацію проєктів, за які голосували?",Як би ви охарактеризували ваш рівень довіри до інших людей?,Як би Ви охарактеризували ваш рівень довіри до процесу відбору та оцінки проєктів ГБ зі сторони міської влади?,Як би Ви охарактеризували ваш рівень довіри до Громадської бюджетної комісії?,Як би Ви охарактеризували ваш рівень довіри до онлайн системи голосування за проєкти?,Наскільки Ви довіряєте своїй родині?,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Президент України,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Верховна Рада України,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Уряд України (Кабінет Міністрів),Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Поліція,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Суди,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Збройні Сили України,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Політичні партії (національні),Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Політичні партії (місцеві),Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Міська влада (м.Києва),Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Депутати міської ради,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Органи місцевого самоврядування,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Громадські організації,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Національні ЗМІ,Якою мірою Ви довіряєте соціальним інституціям перерахованим нижче: - Місцеві ЗМІ,"На вашу думку, Ви активно залучені до громадської діяльності?","Чи є Ви членом якихось громадських організацій, об'єднань, партій? Оберіть всі варіанти відповідей, що Вам підходять.",Чи займались Ви волонтерською діяльністю (безоплатною роботою задля суспільних/громадських потреб) протягом останнього року?,"Чи надавали Ви протягом останнього року якусь благодійну грошову або матеріальну допомогу (наприклад, одяг чи їжу) людям чи громадським організаціям, які вирішують певні проблеми?",Чи є у вас досвід у локальній політичній або громадській діяльності у Києві протягом останнього року?,"Якою мірою Ви відчуваєте свою відповідальність за те, що відбувається в Києві?","Яка, на Вашу думку, роль громадських активістів/ок у суспільних змінах? Дайте, будь ласка, свою відповідь за шкалою від 1 до 5, де  1 – роль мінімальна, а 5 – визначальна роль","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Я відчуваю, що допомагаю своїй громаді","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Я розумію процеси державного управління на рівні міста","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Я вважаю, що КМДА якісно виконує свою роботу у рамках  ГБ","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Я вважаю, що комунікація між працівниками міської влади та учасниками ГБ якісна","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Я частіше слідкую за роботою КМДА вцілому","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Процес бюджетування на рівні міста став більш прозорим для мене","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Київська влада сприяє людям таким як Ви брати участь у процесі прийняття рішень","Враховуючи ваш досвід участі у громадському бюджеті м.Києва, оцініть, наскільки Ви погоджуєтесь із наступними твердженнями: - Потрібно сприяти підвищенню громадянської активності киян через їх залучення до управління міським господарством у всіх важливих сферах",Ваша стать,"Вкажіть ваш вік, обираючи одну з зазначених нижче вікових груп:",Як довго Ви мешкаєте в Києві?,До якої з нижче наведених груп Вас можна віднести?,Яка у Вас освіта?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID15_13""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID34""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID27_6""}","{""ImportId"":""QID27_7""}","{""ImportId"":""QID27_8""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}"
2020-06-22 07:09:15,2020-06-22 07:18:21,IP Address,100,546,True,2020-06-22 07:18:21,R_12yxJ5OCW2EHmNG,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Так,0,Так,Ні,Так,Так,З більшістю людей ви повинні бути обережними,Скоріше не довіряю,Скоріше довіряю,Скоріше довіряю,Повністю довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Зовсім не довіряю,Зовсім не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Так,громадська організація,Так,Так,Я повністю залучений/а до політичній/громадській діяльності міста,Скоріше відчуваю,4,Повністю погоджуюсь,Скоріше погоджуюсь,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Скоріше погоджуюсь,Скоріше не погоджуюсь,Скоріше не погоджуюсь,Скоріше погоджуюсь,Чоловік,18-25 років,Я проживаю в Києві протягом останніх 5 років,Найманий працівник/ця,Вища
2020-06-22 07:17:20,2020-06-22 07:23:47,IP Address,100,386,True,2020-06-22 07:23:47,R_1Qsa62yAW2euXEt,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,"Я виборець, тільки голосував/ла за проекти",Я не пам'ятаю,Так,5,Так,Ні,Так,Ні,Людям майже завжди можна довіряти,Скоріше довіряю,Скоріше довіряю,Скоріше довіряю,Повністю довіряю,Скоріше не довіряю,,"Важко відповісти чи довіряю, чи ні",,,"Важко відповісти чи довіряю, чи ні",,Скоріше не довіряю,"Важко відповісти чи довіряю, чи ні",,"Важко відповісти чи довіряю, чи ні",,,,Ні,"ОСББ,громадська організація,політична партія,релігійне об'єднання, община,профспілка,наукове, освітнє об'єднання,творча спілка,інше,ні, я не є членом жодного з громадських об'єднань",Ні,Так,Маю малий досвід,Зовсім не відчуваю своєї відповідальності,1,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Чоловік,66 та старше,Інший варіант,Інше,Неповна середня (менше 10 класів)
2020-06-22 07:24:16,2020-06-22 07:27:15,IP Address,100,178,True,2020-06-22 07:27:16,R_22nP4eH9Y6Ishzv,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Так,2,Так,Так,Так,Так,"Людям, як правило, можна довіряти",Скоріше довіряю,Повністю довіряю,Скоріше довіряю,Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше не довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше не довіряю,Скоріше довіряю,Скоріше довіряю,Скоріше довіряю,Так,"ні, я не є членом жодного з громадських об'єднань",Так,Ні,Я повністю залучений/а до політичній/громадській діяльності міста,Повністю відчуваю свою відповідальність.,5,Повністю погоджуюсь,Скоріше погоджуюсь,Важко відповісти,Скоріше погоджуюсь,Повністю погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Повністю погоджуюсь,Чоловік,18-25 років,Я проживаю в Києві протягом останніх 5 років,Приватний підприємець/самозайнята особа,Вища
2020-06-22 07:21:39,2020-06-22 07:29:25,IP Address,100,466,True,2020-06-22 07:29:25,R_3nVO7Rn5xClgyDm,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,4,Так,3,Так,Ні,Так,Так,"Людям, як правило, можна довіряти",Скоріше довіряю,Скоріше довіряю,Скоріше довіряю,Повністю довіряю,Скоріше довіряю,Скоріше довіряю,Скоріше довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Ні,"ні, я не є членом жодного з громадських об'єднань",Ні,Так,У мене немає такого досвіду,Скоріше відчуваю,4,Скоріше погоджуюсь,Важко відповісти,Важко відповісти,Важко відповісти,Зовсім не погоджуюсь,Важко відповісти,Важко відповісти,Скоріше погоджуюсь,Чоловік,26-35 років,Я постійно проживаю в Києві,Приватний підприємець/самозайнята особа,Вища
2020-06-22 07:29:05,2020-06-22 07:29:37,IP Address,100,31,True,2020-06-22 07:29:37,R_2fH88TX3IYLmq9j,anonymous,UK,Так,Так,Так,Так,Так,Ні,Ні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22 07:32:26,2020-06-22 07:36:54,IP Address,100,268,True,2020-06-22 07:36:55,R_2sQQhsbmGv2WmYp,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Так,0,Так,Так,Так,Так,"Людям, як правило, можна довіряти",Зовсім не довіряю,Скоріше довіряю,Скоріше не довіряю,Повністю довіряю,Скоріше довіряю,Скоріше довіряю,Скоріше не довіряю,Зовсім не довіряю,Зовсім не довіряю,Скоріше довіряю,Скоріше не довіряю,Скоріше не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Скоріше довіряю,Зовсім не довіряю,Скоріше не довіряю,Так,громадська організація,Так,Так,У мене є значний досвід,Складно сказати,3,Повністю погоджуюсь,Скоріше погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Скоріше не погоджуюсь,Зовсім не погоджуюсь,Зовсім не погоджуюсь,Повністю погоджуюсь,Чоловік,26-35 років,Я постійно проживаю в Києві,Приватний підприємець/самозайнята особа,Вища
2020-06-22 07:32:01,2020-06-22 07:38:21,IP Address,100,379,True,2020-06-22 07:38:21,R_2di0MMdXVBMX1C5,anonymous,UK,Так,Так,Так,Так,Так,Так,Так,Я лідер/ка проекту,5,Ні,5,Так,Ні,Так,Ні,"Людям, як правило, можна довіряти",Скоріше не довіряю,Скоріше довіряю,Повністю довіряю,Повністю довіряю,Зовсім не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше довіряю,Зовсім не довіряю,"Важко відповісти чи довіряю, чи ні",Повністю довіряю,Скоріше не довіряю,"Важко відповісти чи довіряю, чи ні",Скоріше довіряю,Скоріше довіряю,"Важко відповісти чи довіряю, чи ні",Повністю довіряю,Скоріше довіряю,Повністю довіряю,Так,"ОСББ,громадська організація,політична партія",Так,Так,У мене є значний досвід,Повністю відчуваю свою відповідальність.,4,Повністю погоджуюсь,Скоріше погоджуюсь,Важко відповісти,Важко відповісти,Скоріше погоджуюсь,Скоріше не погоджуюсь,Важко відповісти,Повністю погоджуюсь,Чоловік,46 – 65 років,Я проживаю в Києві протягом останніх 5 років,Приватний підприємець/самозайнята особа,Вища
2020-06-22 07:38:37,2020-06-22 07:45:08,IP Address,100,390,True,2020-06-22 07:45:08,R_eyx7EsJdnDwLv0d,anonymous,UK,Так,Так,Так,Так,Так,Так,Ні,"Я виборець, тільки голосував/ла за проекти",2,Ні,2,Ні,Ні,Ні,Ні,З більшістю людей ви повинні бути обережними,Скоріше не довіряю,Скоріше не довіряю,Скоріше довіряю,Повністю довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,Зовсім не довіряю,"Важко відповісти чи довіряю, чи ні","Важко відповісти чи довіряю, чи ні",Скоріше не довіряю,Скоріше не довіряю,Важко сказати,"громадська організація,творча спілка",Так,Так,У мене немає такого досвіду,Складно сказати,5,Скоріше погоджуюсь,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Скоріше погоджуюсь,Важко відповісти,Скоріше погоджуюсь,Жінка,26-35 років,Я проживаю в Києві протягом останніх 5 років,Приватний підприємець/самозайнята особа,Вища
